vehicle_id,final_location_id,current_odometer_km,km_driven_this_lease_year,total_lifetime_km,annual_limit_km,overage_km,overage_ratio,total_relocations,total_relocation_cost,total_overage_cost,routes_completed,km_since_last_service,service_due
85,233,340881,0,340881,150000,0,0.00%,0,0.00,0.00,0,0,False
86,233,294499,0,294499,150000,0,0.00%,0,0.00,0.00,0,0,False
87,233,277472,0,277472,150000,0,0.00%,0,0.00,0.00,0,0,False
88,233,351115,0,351115,150000,0,0.00%,0,0.00,0.00,0,0,False
89,233,293373,0,293373,150000,0,0.00%,0,0.00,0.00,0,0,False
90,233,292807,0,292807,150000,0,0.00%,0,0.00,0.00,0,0,False
91,233,308856,0,308856,150000,0,0.00%,0,0.00,0.00,0,0,False
92,233,216809,0,216809,150000,0,0.00%,0,0.00,0.00,0,0,False
93,233,261588,0,261588,150000,0,0.00%,0,0.00,0.00,0,0,False
94,233,268952,0,268952,150000,0,0.00%,0,0.00,0.00,0,0,False
95,233,236316,0,236316,150000,0,0.00%,0,0.00,0.00,0,0,False
96,240,155498,205,155498,150000,0,0.14%,0,0.00,0.00,1,205,False
97,240,221551,112,221551,150000,0,0.07%,0,0.00,0.00,1,112,False
98,240,168035,242,168035,150000,0,0.16%,0,0.00,0.00,1,242,False
99,240,269472,194,269472,150000,0,0.13%,0,0.00,0.00,1,194,False
100,240,217809,206,217809,150000,0,0.14%,0,0.00,0.00,1,206,False
101,240,211012,191,211012,150000,0,0.13%,0,0.00,0.00,1,191,False
102,240,199092,128,199092,150000,0,0.09%,0,0.00,0.00,1,128,False
103,240,178540,329,178540,150000,0,0.22%,0,0.00,0.00,1,329,False
104,240,176173,187,176173,150000,0,0.12%,0,0.00,0.00,1,187,False
105,240,230984,152,230984,150000,0,0.10%,0,0.00,0.00,1,152,False
106,240,210319,273,210319,150000,0,0.18%,0,0.00,0.00,1,273,False
107,240,207331,242,207331,150000,0,0.16%,0,0.00,0.00,1,242,False
108,240,264069,222,264069,150000,0,0.15%,0,0.00,0.00,1,222,False
109,240,271069,226,271069,150000,0,0.15%,0,0.00,0.00,1,226,False
110,240,191666,233,191666,150000,0,0.16%,0,0.00,0.00,1,233,False
111,240,218424,133,218424,150000,0,0.09%,0,0.00,0.00,1,133,False
112,240,167535,313,167535,150000,0,0.21%,0,0.00,0.00,1,313,False
113,240,192041,114,192041,150000,0,0.08%,0,0.00,0.00,1,114,False
114,240,218871,112,218871,150000,0,0.07%,0,0.00,0.00,1,112,False
115,240,177481,160,177481,150000,0,0.11%,0,0.00,0.00,1,160,False
116,240,141999,88,141999,150000,0,0.06%,0,0.00,0.00,1,88,False
117,240,184472,353,184472,150000,0,0.24%,0,0.00,0.00,1,353,False
118,240,164886,146,164886,150000,0,0.10%,0,0.00,0.00,1,146,False
119,240,209122,56,209122,150000,0,0.04%,0,0.00,0.00,1,56,False
120,240,247966,0,247966,150000,0,0.00%,0,0.00,0.00,0,0,False
121,240,202815,0,202815,150000,0,0.00%,0,0.00,0.00,0,0,False
122,240,284337,0,284337,150000,0,0.00%,0,0.00,0.00,0,0,False
123,240,198956,0,198956,150000,0,0.00%,0,0.00,0.00,0,0,False
124,240,22628,0,22628,150000,0,0.00%,0,0.00,0.00,0,0,False
125,240,13822,0,13822,150000,0,0.00%,0,0.00,0.00,0,0,False
126,240,21698,0,21698,150000,0,0.00%,0,0.00,0.00,0,0,False
127,240,29969,0,29969,150000,0,0.00%,0,0.00,0.00,0,0,False
128,240,19885,0,19885,150000,0,0.00%,0,0.00,0.00,0,0,False
129,240,21213,0,21213,150000,0,0.00%,0,0.00,0.00,0,0,False
130,240,28393,0,28393,150000,0,0.00%,0,0.00,0.00,0,0,False
131,240,24537,0,24537,150000,0,0.00%,0,0.00,0.00,0,0,False
132,240,23148,0,23148,150000,0,0.00%,0,0.00,0.00,0,0,False
133,240,22004,0,22004,150000,0,0.00%,0,0.00,0.00,0,0,False
134,240,15444,0,15444,150000,0,0.00%,0,0.00,0.00,0,0,False
135,240,21550,0,21550,150000,0,0.00%,0,0.00,0.00,0,0,False
136,240,15455,0,15455,150000,0,0.00%,0,0.00,0.00,0,0,False
137,240,16567,0,16567,150000,0,0.00%,0,0.00,0.00,0,0,False
